orden,rama,ocupacion,tareas,tecno
18490,BICICLETERIA,"BICICLETERO, REPARACION, ARREGLOS",REPARACION DE BICICLETAS,"DE MANO, COMPRESOR"
18501,"COMERCIO DEL RUBRO ALIMENTOS, NO ESPECIFICA",NO RESPONDE,NO RESPONDE,NO RESPONDE
18509,9801,LIMPIEZA,LIMPIEZA,DE MANO
18518,POLICIA,POLICIA,CUIDAR LA PROPIEDAD PRIVADA,"ARMAS, PATRULLEROS"
18525,EMPLEADO ADMINISTRATIVO,BANCARIO,ADMINISTRATIVO,"COMPUTADORA, SELLOS, LAPICERA"
18526,EMPLEADA DE COMERCIO,EMPLEADA DE COMERCIO,VENDEDORA,ROPA
18562,MINERIA,"JORNALERO EN LAS MINAS, CANTERAS",EXTRACCION DE PIEDRA,"PUNTA, MARTILLO"
18567,"AMA DE CASA, TRABAJA Y ESTUDIA EN ELLA","AMA DE CASA, ENCARGADA PRINCIPAL",,
18568,CONSULTORIO DE KINESIOLOGO,KINESIOLOGO,"KINESIOLOGIA, CONSULTORIO, ATENCION A PACIENTES",APARATOS PARA KINESIOLOGIA
18594,LA MARINA,MARINERO,"CARRERA DE SUBOFICIAL, LIMPIEZA, MANEJO DE ARMAS","ARMAS, MAPAS, BALDES"
18596,EMPRESA VENTA DE COCHE VW,ENCARGADO DE LIMPIEZA,LIMPIEZA Y MANTENIMIENTO,ARTICULOS DE LIMPIEZA
18607,VERDULERIA,VERDULERA,VENTA DE VERDURAS,"BALANZA, SERRUCHO"
18613,ASESORAMIENTO Y VENTA DE PRODUCTOS DE NUTRICION,DISTRIBUIDORA INDEPENDIENTE,VENDE Y ASESORA SOBRE PRODUCTOS,LICUADORA
18615,"CALL CENTER, ATENCION AL CLIENTE EN CLARO","ATENCION AL CLIENTE, TELEFONISTA",ATIENDE AL CLIENTE Y SOLUCIONA PROBLEMA,COMPUTADORA
18626,"MECANICA EN GENERAL, PINTURA DE AUTOS, TALLER MECANICO",MECANICO,REPARACION Y PINTURA DE AUTOS,HERRAMIENTAS MECANICAS
18630,"SEGURIDAD PUBLICA, COMISARIA","SEGURIDAD, POLICIA",VIGILANCIA,ARMA
18637,COMEDOR UNIVERSITARIO,MOZA,"ATENDIA A LA GENTE, SERVIA LAS MESAS","BANDEJAS, VAJILLA"
18643,"UN BANCO, PRESTABA DINERO, GUARDABA DINERO",GERENTE DE SUCURSAL,"ATENCION AL PUBLICO, CONTROL DE PERSONAL, TOMA DECISIONES",LAPICERA
18656,LIMPIEZA,EMPLEADO DE LIMPIEZA,LIMPIAR,"ESCOBILLON, ASPIRADORA, PALA"
18664,TRASLADO DE PERSONAS,REMISERO,"MANEJA AUTO, TRASLADO DE PERSONAS",AUTO
18688,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,LIMPIEZA,ELEMENTOS DE LIMPIEZA
18708,"COMERCIANTE DE PRODUCTOS SECOS, NUECES",COMERCIANTE,"COMPRA, VENDE Y REPARTE NUECES",COMPUTADORA
18712,MINISTERIO DE EDUCACION,DOCENTE ENCARGADA DEL AREA DE PATRIMONIO CULTURAL,"ADMINISTRACION DEL AREA, DICTABA TALLERES DE CAPACITACION PARA DOCENTES",COMPUTADORA
18713,TELEFONIA CELULAR,PLANEAMIENTO OPERATIVO,REPORTA LOS PROBLEMAS DIARIOS EN EL SERVICIO,COMPUTADORA
18718,OFICINA CONTABLE,CADETE,VARIAS,COMPUTADORA
18721,TALLER DE CALZADO,MODISTA EN TALLER DE CALZADO,ARMADO BASE DE ZAPATILLAS,
18723,COLABORABA CON LA COPA DE LECHE,,"AYUDAR, ASISTIR",
18726,CHANGAS,CHANGAS,JARDINES,
18728,,,DESCARGA DE MATERIAL DE CAMIONES,
18736,MAESTRANZA EN UN COLEGIO,MAESTRANZA EN COLEGIO,LIMPIEZA EN UN COLEGIO ESTATAL,HERRAMIENTAS DE LIMPIEZA DE SALON
18769,9803,EMPLEADA DOMESTICA,LIMPIEZA CASA Y CUIDA ANCIANA,ELEMENTOS DE LIMPIEZA
18773,VENDEDOR AMBULANTE BAZAR,"VENDEDOR DE BAZAR, CAJERO",VENTAS,
18774,LIMPIABA CASAS,EMPLEADA DOMESTICA,LIMPIAR,
18811,TALLER DE PINTURA DE AUTOS,AYUDANTE,"LIJA LOS AUTOS, PREPARA PARA PINTURA","LIJADORA, HERRAMIENTAS"
18820,"ALBAÑIL, CONSTRUCCION",ALBAÑIL,"CONSTRUCCION, REFACCIONES, REPARACIONES","CAL, ARENA, CEMENTO, LADRILLOS"
18825,PEON,ALBAÑIL,CONSTRUCCION,"PALA, CUCHARA, PICO"
18826,ARREGLA AUTOS,MECANICO,ARREGLA AUTOS,HERRAMIENTAS ESPECIALES
18837,ALBAÑIL,CONSTRUCCION,TRABAJOS DE CONSTRUCCION Y REPARACION,"PALA, BALDE, PICO, CUCHARA"
18841,LIMPIEZA,EMPLEADA DOMESTICA,LIMPIAR CASAS POR HORA,"BALDE, TRAPO DE PISO, ESCOBA"
18847,CONSTRUCCION,ALBAÑIL,CONSTRUIR Y REFACCIONAR,"PALA, MATERIALES DE CONSTRUCCION"
18855,COSTURA,MARROQUINERIA,COSER,MAQUINA DE COSER
18856,VENTAS,VENDEDOR AMBULANTE,VENDER,"ELEMENTOS PARA VENDER, GOLOSINAS, MEDIAS"
18857,VENDE CHORIPAN Y LOMITOS,GASTRONOMICO EN LA CALLE,VENTAS,"PAN, CHORIZO, CARNE, MAYONESA"
18862,CHOFER DE COLECTIVOS DE LARGA DISTANCIA,CHOFER,MANEJABA EL COLECTIVO,
18876,"CUIDADO, MANTENIMIENTO DE UN EDIFICIO",PORTERA,LIMPIEZA,ARTICULOS DE LIMPIEZA
18880,TELECOMUNICACIONES,TECNICO EN TELEFONIA,REPARA LINEAS TELEFONICAS,EQUIPOS DE TELEFONIA
18881,COMERCIO,COMERCIANTE,VENTAS,
18889,PLANCHABA ROPA EN LA CASA DONDE VIVE,CHANGAS,LAVABA Y PLANCHABA ROPA,PLANCHA
18891,SUBOFICIAL DE LA ARMADA,SUBOFICIAL,TAREAS ADMINISTRATIVAS,"COMPUTADORA, TELEFONO"
18892,"TARJETA NARANJA, CALL CENTER",OFICINISTA,ATENCION AL CLIENTE,TELEFONO
18910,CENTRO EDUCATIVO,ADMINISTRATIVA,ADMINISTRATIVO Y ATENCION AL PUBLICO,COMPUTADORA
18914,COMERCIO,VENDEDORA,ATENCION AL PUBLICO,CAJA
18916,FABRICACION Y VENTA DE EMPANADAS,ATENCION AL PUBLICO,"TOMA DE PEDIDOS POR TELEFONO, ATENCION AL PUBLICO","TELEFONO, PAPEL, LAPICERA"
18928,BANCO,BANCARIO,"CREDITOS, ATENCION AL PUBLICO","MAQUINA DE CENTRO DE COMPUTOS, MAGNETIZADORAS, CALCULADORA"
18935,"COMERCIO, LIBRERIA",EMPLEADA,"ATENCION AL PUBLICO, REPOSITORA","ELEMENTOS DE LIBRERIA, CAJA"
18944,EMPRESA DE SEGURIDAD,GUARDIA DE SEGURIDAD,SEGURIDAD PRIVADO DE BANCO,
18957,FABRICA DE ROPA,"CORTADORA, MODISTA",CORTABA Y CONFECCIONABA PRENDAS,"TELAS, TIJERAS, MAQUINA DE COSER"
18959,PANIFICADORA,"FABRICA, ELABORA","FABRICACION, ELABORACION","AMASADORA, BATIDORA"
18961,ENCARGADO DE UN EDIFICIO,CONSERJE,"MANTENIMIENTO, LIMPIEZA, ENTREGA DE CORRESPONDENCIA","BALDE, MOPA, PRODUCTO DE LIMPIEZA"
18964,ARREGLO DE RUTAS Y CAMINOS,"ALBAÑIL, ARREGLO O HACE RUTAS O CAMINOS","BACHEO, ARREGLO DE RUTAS Y CAMINOS","CASCO, GUANTES, MAQUINAS"
18971,PARRILLA,CAJERA,ATIENDE LA CAJA DEL LUGAR,"COMPUTADORA, DINERO"
18982,CONSTRUCCION,ALBAÑIL,"ALBAÑIL EN OBRAS, COLOCAR PISOS","PINZAS, PALA, MARTILLO"
19011,KIOSCO,KIOSQUERO,"VENTA DE ALIMENTOS, GOLOSINAS, GASEOSAS",HELADERAS
19014,CARNICERIA,CARNICERO,PRODUCCION DE HAMBURGUESAS,"EQUIPOS, MAQUINAS DE CORTE"
19032,EMPLEADA DOMESTICA,EMPLEADA DOMESTICA,LIMPIEZA EN CASA PARTICULAR,ELEMENTOS DE LIMPIEZA
19035,TRABAJA EN LA COCINA DE UNA FABRICA,"COCINERO, AYUDANTE DE COCINA",COCINAR PARA LOS EMPLEADOS DE UNA FABRICA,"HORNO, ELEMENTOS DE COCINA"
19045,NUNCA TRABAJO,,,
19047,"JARDINERIA, ARREGLO DE JARDIN",JARDINERIA,"JARDIN, PODA, CORTA CESPED","TIJERA PARA PODAR, RASTRILLO"
19048,AYUDANTE DE ALBAÑIL,AYUDANTE DE ALBAÑIL,"ALCANZA CABLE, LEVANTA LADRILLOS","MAQUINA HORMIGONERA, PALA"
19049,ALBAÑIL,ALBAÑIL,"COLOCA PISOS, CERAMICOS, HACE CASAS","CUCHARA, PLOMADA, MAQUINA DE CAL, CARRETILLA"
19054,COMERCIO VENTA ALIMENTOS,VENDEDOR EN LOCAL COMERCIAL,"ATENCION AL PUBLICO, Y ACTIVIDADES VARIAS EN EL SECTOR D VERDULERIA",NINGUNA
19060,EMPRESA ALIMENTARIA,LIDER DE CALIDAD,CONTROL DE MATERIA PRIMA,HERRAMIENTAS DE LABORATORIO
19062,TRABAJADORA FAMILIAR,OFICIO DE APARADORA,COSTURA EN CUERO,MAQUINA DE APARAR INDUSTRIAL
19071,98,SERVICIO DOMESTICO,LIMPIEZA,ELEMENTOS DE LIMPIEZA
19083,"ALBAÑILERIA, ELECTRICIDAD","ALBAÑIL, ELECTRICISTA","CONSTRUCCION, TRABAJO DE ELECTRICIDAD EN GENERAL","HERRAMIENTAS DE CONSTRUCCION, BROCA, PALA"
19090,DELIVERY,DELIVERY EN MOTO,TRASLADO Y ENVIO DE PLATOS DE COMIDA,MOTO
19091,ROTISERIA,COCINERA,AYUDANTE DE COCINA,"HORNO, UTENSILIOS DE COCINA"
19109,ATENCION AL CLIENTE,EMPLEADO EN VERDULERIA,ATENCION AL CLIENTE,"BALANZA, CAJONES DE FRUTA Y VERDURA"
19117,INDUMENTARIA PARA MASCOTAS,COSTURA POR CUENTA PROPIA,MAQUINA DE COSTURA,MAQUINA DE COSTURA
19118,PAPELERA,"MANEJA MAQUINA DE CARGA, MULITA",MANEJA MAQUINAS PESADAS,MULITA
19121,FABRICA DE LADRILLOS,OPERARIO,MANEJAR MAQUINAS,MANEJA LAS MAQUINAS DE LA FABRICA
19130,"SALUD, POLIVALENTE",INSTRUMENTADORA QUIRURGICA,"ASISTENCIA DE EQUIPO QUIRURGICO, MAS PACIENTES, DESDE EGRESO HASTA SI SALIDA DEL QUIROFANO",INSTRUMENTAL QUIRURGICO
19132,EDUCACION,DOCENTE,"PREPARABA CLASES, TOMABA PRUEBAS, CORREGIA","LIBROS, HOJAS, PAPEL, LAPICERA, TIZA, PIZARRON"
19133,ALIMENTACION,MOZO,"ATIENDE A LOS CLIENTES, LEVANTA Y PREPARA MESAS, TOMA PEDIDOS","BANDEJA, PLATOS, VASOS, BEBIDAS"
19147,"AYUDANTE, PEON ALBAÑIL",PEON ALBAÑIL,AYUDANTE EN LA CONSTRUCCION,"PALA, PICO"
19154,ZAPATERO,ZAPATERO,ATENDER Y CONFECCIONAR ZAPATOS,HERRAMIENTAS
19165,EMPLEADA ADMINISTRATIVA,ADMINISTRATIVA EN UNA CLINICA,ADMINISTRACION DE UNA CLINICA,"COMPUTADORA, LAPICERA"
19185,"PLOMERIA, MANTENIMIENTO DE PISCINA",PLOMERO,"COLOCACION DE CAÑERIAS, ARREGLOS DE CAÑOS","PINZAS, TENAZAS, MOLADORA"
19188,CONSTRUCCION,ALBAÑIL,"CONSTRUCCION, REFACCIONES, ELECTRICIDAD","MAQUINA MEZCLADORA, PALA, CABLES, PINZAS"
19191,SALUD,ENFERMERO,ATIENDE A PACIENTES EN UNA CLINICA,"TERMOMETRO, TENSIOMETRO, PLANILLA"
19211,"COMERCIO, VENTA DE REPUESTOS DE AUTOS",COMERCIANTE,"DIRIGIR AL COMERCIO, AL PERSONAL, COMPRAS, STOCK",PC
19213,"COMERCIO, VENTA DE REPUESTOS DE AUTOS",COMERCIANTE,ATENCION AL PUBLICO,PC
19227,CONSTRUCCION,ALBAÑIL,TAREAS DE MANTENIMIENTO Y ALBAÑILERIA,"PALA, MARTILLO, PICO, BALDE, SOGA"
19232,EMPLEADO EN UNA IMPRENTA,OPERARIO,ATENCION AL PUBLICO,COMPUTADORA
19250,VENTA DE PRODUCTOS COSMETICOS Y ROPA,VENDEDORA,VENDER PRODUCTOS Y ROPA,"BOLSOS, TELEFONO"
19251,CONSTRUCCION,COLOCADOR DE REVESTIMIENTO,COLOCA MARMOL,"AMOLADORA, PERCUTORA, TALADRO"
19256,98,,,
19258,COMERCIO,AYUDANTE SOPORTE DURANTE LAS FIESTAS,AYUDABA DURANTE LAS FIESTAS,
19265,CONCESIONARIA,COMERCIANTE,TAREAS ADMINISTRATIVAS,COMPUTADORA
19267,SERVICIOS DE SALUD,ELECTROMECANICA ODONTOLOGICA,REPARACION DE EQUIPOS E INSTRUMENTAL ODONTOLOGICO,"TESTER, TENAZAS, PINZAS, DESTORNILLADOR, SOLDADOR"
19268,SERVICIOS DE SALUD,FISIOTERAPEUTA,TERAPIA FISICA Y ARTE,MUSICA Y APARATOS DE ELECTROMEDICINA
19269,EDUCACION,PROFESORA DE EDUCACION FISICA,DOCENTE,"ELEMENTOS DE GIMNASIA, AROS, PELOTAS"
19270,SALUD,CLINICA DE ESTETICA,SECRETARIA ADMINISTRATIVA,"COMPUTADORA, TELEFONO"
19274,EMPRESA AUTOMOTRIZ,PINTOR DE AUTOPARTES,PINTURA,SOPLETE
19282,FABRICA Y COMERCIALIZACION DE CALZADO,APARADOR,"EL APARADO DEL CALZADO, DE CUERO, COSTURA","MAQUINA DE APARADO, MARTILLO, PINCEL"
19292,TRABAJADOR INDEPENDIENTE EN CONSTRUCCION,CONSTRUCTOR,"ALBAÑILERIA, REFACCION, PINTURA","SOLDADORA, AMOLADORA, PINCEL, RODILLOS"
19296,MINISTERIO DE DESARROLLO SOCIAL,MIEMBRO DE EQUIPO PROFESIONAL,"ENTREVISTAS SOCIALES, SEGUIMIENTOS, INFORMES",PC
19301,"EDUCACION MEDIA, TERCIARIA Y UNIVERSITARIA",DOCENTE,"PLANIFICAR, ESTAR FRENTE AL AULA, TOMAR EXAMENES","PIZARRON, TIZAS, NETBOOK"
19302,EDUCACION MEDIA,DOCENTE,"PLANIFICAR, ESTAR FRENTE AL AULA, TOMAR EXAMENES","PIZARRON, TIZAS, NETBOOK"
19311,ADMINISTRATIVA,ADMINISTRATIVA,"PAPELEO, ARCHIVAR EXPEDIENTES",COMPUTADORA
19312,PERSONAL DOCENTE,DOCENTE,CUIDADO DE PERSONAS DISCAPACITADAS,"LAPICERA, PAÑALES"
19314,CONSTRUCCION,DURLISTA,COLOCACION DE DURLOCK,"AGUJEREADORA, TALADRO, DESTORNILLADOR"
19315,MOZO,MOZO,ATIENDE RESTAURANTE,MANOS
19317,DISEÑADOR,DISEÑO WEBS MULTIMEDIA,"DISEÑO GRAFICO, WEB, DESARME WEB, PROGRAMACION","COMPUTADORA, IMPRESORA"
19319,ATENCION AL CLIENTE,ATENCION AL CLIENTE,"LLAMABA AL CLIENTE, POSVENTA","COMPUTADORA, TELEFONO"
19320,DESOCUPADO Y ANTES CAMIONERO,CAMIONERO,MANEJABA,CAMION
19324,ADMINISTRATIVO DEL JUZGADO FEDERAL,OFICIAL DE JUSTICIA,"DESALOJOS, SECUESTROS DE AUTOS, EMBARGOS","LAPICERA, HOJA, COMPUTADORA"
19326,ESTUDIANTE,ALUMNO,ESTUDIAR,"CUADERNO, LIBRO, LAPIZ"
19331,AMA DE CASA,AMA DE CASA,TAREAS DEL HOGAR,MANOS
19339,AUTONOMA,AUTONOMA,MANEJA TAXI,AUTO
19340,CHOFER DE TAXI,TAXISTA,MANEJA TAXI,AUTO
19342,ESTADO Y FLETE,EMPLEADO DE GOBIERNO,"MAESTRANZA, MANTENIMIENTO","DOMIS, MAESTRANZA, MARTILLO"
19356,"TECNICO, LABORATORIO DENTAL",MECANICO DENTAL,PROTESIS DENTAL,MAQUINA ESPECIFICA
19359,AMA DE CASA,AMA DE CASA,MANTENIMIENTO DEL HOGAR,MANOS Y MATERIALES DE LIMPIEZA
19361,ENSEÑANZA,DOCENTE,"ENSEÑAR, PLANIFICAR, ESTUDIAR, CAPACITAR","PAPEL, LAPICES, COMPUTADORA, CARTULINA"
19362,COCINAR,CHEFF,"COMPRAR, CORTAR, FREIR, HORNEAR",UTENSILIOS DE COCINA VARIOS
19365,EMPRESA AGROPECUARIA,ADMINISTRATIVA,TAREAS ADMINISTRATIVAS,"ELEMENTOS DE OFICINA, COMPUTADORA, PAPELES"
19383,"SEGURIDAD, PATRULLA, COMANDO DE EMERGENCIA",OFICIAL POLICIA,PATRULLA,AUTO
19390,FINANCIERA,EMPLEADA ADMINISTRATIVA,ADMINISTRACION,"PC, CALCULADORA"
19392,HELADERIA,ATENCION AL PUBLICO,ATENCION AL PUBLICO,CUCHARONES
19395,MECANICA,MECANICO,"CHAPA Y PINTURA, ARREGLO DE AUTOS",HERRAMIENTAS DE MANO
19399,"FABRICA SUPERTAP, TAPAS",SUPERVISOR,CONTROL DE MAQUINAS,HERRAMIENTAS DE MANO
19408,PREMOLDEADOR DE HORMIGON,SOCIO GERENTE,RELACIONES COMERCIALES,PC
19411,CONSTRUCCION,RECEPCIONISTA,ATENCION AL CLIENTES Y ADMINISTRACION DE CONSORCIO,"TELEFONO, PC"
19413,EDUCACION,DOCENTE,ENSEÑAR,"PC, LABORATORIO, PIZARRON, PROYECTOR"
19435,MILITAR,SUBOFICIAL MILITAR,"INTENDENCIA, ADMINISTRATIVO",MAQUINA DE ESCRIBIR
19439,"METALMECANICO, PROCESAMIENTO DE HIERRO",METALURGICO,"TREFILADO, CORTE DE MATERIAL, RECTIFICADO","TORNO, TREFILADORA, RECTIFICADORA"
19440,COLEGIO PRIMARIO PUBLICO,MAESTRA DE NIVEL PRIMARIO,ENSEÑANZA,"LAPICERA, LAPIZ, TIZAS, LIBROS, COMPUTADORA"
19441,APOYO LOGISTICO,OPERARIO,RECEPCION DE PIEZAS,"COMPUTADORA, MONTACARGAS"
19442,"TORTAS, REPOSTERIA",REPOSTERIA,REPOSTERIA,"BATIDORA, COCINA"
19448,PRODUCCION AGROPECUARIA EN CAMPO FAMILIAR,EMPLEADA RURAL,"ORDEÑAR, CRIAR AVES, PRODUCCION DE QUESOS, ASAR, COSECHAR","PALA, RASTRILLO, AZADA, BALDE"
19466,"TALLER DE COSTURA, VAQUEROS PARA HOMBRES",AYUDANTES,"AYUDANTES, AVECES PORQUE ESTUDIAN","PASACINTOS, PEGABOTONES"
19473,EMPLEADA DOMESTICA EN CASA DE FAMILIA,EMPLEADA DOMESTICA,TAREA DE LIMPIEZA EN LA VIVIENDA,"BALDE, ESCOBA, TRAPO DE PISO, ARTICULOS DE LIMPIEZA, GUANTES"
19478,ALBAÑIL,ALBAÑIL,"TAREAS DE CONSTRUCCION, ALBAÑIL","PALA, CARRETILLA, MARTILLO, SOGA, PICO"
19498,PANADERIA,EMPLEADO DE COMERCIO,"ATENCION AL PUBLICO, SECTOR DE PANIFICADOS","BALANZA, CAJA REGISTRADORA"
19500,"BOLICHE, BAR",MOZA,TAREAS DE LIMPIEZA Y ATENCION AL PUBLICO,"BANDEJA, ARTICULOS DE LIMPIEZA"
19502,MUNICIPALIDAD DE BERISSO,EMPLEADO MUNICIPAL DE LA ORQUESTA DE BERISSO,"ESTUDIOS, ENSAYOS, CONCIERTOS","INSTRUMENTOS, ATRIL, PARTITURAS"
19504,DIRECCION DE CEREMONIA EN LA DIRECCION DE ESCUELA,EMPLEADA TECNICA,"SECRETARIA, ATENDIA FAX Y CORREO ELECTRONICO","COMPUTADORA, TELEFONO"
19505,EMPRESA DE INGENIERIA,INGENIERO,"PROYECTOS DE ENERGIZACION ELECTRICA, COTIZACIONES, PLIEGOS","COMPUTADORA, TELEFONO"
19507,VENTA Y REPARACION DE RELOJES,RELOJERO,"LIMPIEZA DE MAQUINAS, CAMBIO DE PILAS","PINZAS, DESTORNILLADOR, CEPILLO"
19514,REMISERIA,CHOFER,TRASLADO DE PASAJEROS,"AUTO, RADIO"
19528,EJERCITO,CABO PRIMERO,PROYECTO DE ELABORACION DE TANQUE,
19532,REPARTO DE GAS,DISTRIBUIDOR,"REPARTIR EL GAS CASA POR CASA, LEVANTAR Y BAJAR TUBOS DE GAS",CAMION
19539,ESCUELA INICIAL Y PRIMARIA PRIVADA,VICEDIRECTORA,"ACTIVIDADES PEDAGOGICAS Y ADMINISTRATIVAS, ORIENTACION DEL PERSONAL","COMPUTADORA, ACTAS, REGISTROS"
19545,DOCENTE DE ESCUELA PUBLICA,DOCENTE,"PREPARAR CLASES, CORREGIR","COMPUTADORA, PROYECTOR"
19551,98,"LIMPIEZA, PLANCHADO","LIMPIAR, LAVAR","ESCOBA, ESCURRIDOR, BALDE, CEPILLO"
19554,9801,LIMPIEZA DE CASAS,"LIMPIAR PISOS, LAVAR ROPA","ESCOBA, ESCURRIDOR, TRAPO DE PÃSO, BALDE, CEPILLO"
19556,HAMBURGUESERIA,AYUDANTE,"AYUDAR A PREPARAR HAMBURGUESAS, ACOMODAR LAS MESAS","CUCHILLO, PLANCHA HAMBURGUESERA"
19576,PRODUCCION DE YERBA MATE,"TAREFEADOR, PEON RURAL","PLANTAR PLANTINES DE YERBA MATE, DESMALEZAR EL YERBAL, COSECHAR","AZADA, MACHETE, TIJERA, PALA"
19590,"COMERCIO, SUPERMERCADO",COMERCIANTE,"ARQUEO DE CAJA, PAGO A PROVEEDORES, ATENCION DE VIAJANTES","POSNET, CHEQUERA, COMPUTADORA, IMPRESORA"
19592,ADMINISTRADOR DE EMPRESAS,"ADMINISTRADOR, GERENTE","TAREAS ADMINISTRATIVAS, ORGANIZA EMPRESA, VER PAGOS","MAQUINA DE ESCRIBIR, MAQUINA CALCULADORA, LAPIZ, HOJAS"
19602,SERVICIO DE ENERGIA ELECTRICA DE MISIONES,"TELEFONISTA DE EMSA, ELECTRICIDAD DE MISIONES","RECEPCION DE LLAMADAS, DERIVACION DE PEDIDOS, TELEFONISTA","TELEFONO, LAPIZ, PAPEL, BIROME"
19606,"MINISTERIO DE SALUD PUBLICA, JEFE",FUMIGADOR,"LLEVAR MOCHILA Y FUMIGAR CASAS, DEPOSITOS","LA MOCHILA FUMIGADORA, VENENO"
19607,TRANSPORTE DE PASAJEROS,CHOFER,CONDUCTOR DE OMNIBUS,COLECTIVO
19621,SUPERMERCADO,CARNICERO,CORTE Y VENTA DE CARNE,"SIERRA, BALANZA, BOLSAS"
19626,ESTANCIA,PEON DE CAMPO,CUIDADO DE ANIMALES,"CABALLO, CARRO"
19634,VENTA DE COMISION,VENTA DE ARMAS,VENDER ARTICULOS VARIOS,"MALETIN, PAPEL, BIROME, TELEFONO"
19637,RADIO Y TELEVISION,LOCUTORA,LOCUCION COMERCIAL,"MICROFONO, PAPEL, BIROME"
19640,ACTIVIDAD AGRICOLA,CITRICULTURA Y GANADERIA,CULTIVO DE CITRICOS Y CRIA DE GANADO,"CAMIONETA, COMPUTADORA"
19641,"DPEC, PROVISION DE ELECTRICIDAD",GERENTE ZONAL,CONTROL DEL SERVICIO Y PERSONAL,"CAMIONETA, COMPUTADORA, CELULAR"
19643,ELECTRICISTA POR CUENTA PROPIA,"INSTALADOR DOMICILIARIO, ELECTRICISTA",CONEXIONES ELECTRICAS,"PINZA, ALICATE, DESTORNILLADOR, ESCALERA, TALADRO, PERCUTOR"
19651,MINISTERIO DE SEGURIDAD,POLICIA,VIGILANCIA EN CALLE Y SEGURIDAD PARA BANCOS,"PATRULLERO, ARMAS DE FUEGO, ESPOSAS"
19652,MINISTERIO DE SEGURIDAD,POLICIA,"ESCUELA DE POLICIA, VIGILANCIA ALLI",SOLO UNIFORME EN ESCUELA
19663,MINISTERIO DE SEGURIDAD DE LA NACION,"SOLDADO, SUBOFICIAL SARGENTO MAYOR",RECIBIR E IMPARTIR ORDENES PARA TAREAS DIARIAS,"UNIFORME DEL EJERCITO, CUADERNOS, SILBATO"
19664,"MANUALIDADES, ARTESANIAS, DECORACION","ARTESANA, DECORADORA",REALIZABA TRABAJOS ARTESANOS O MANUALIDADES EN DIFERENTES MATERIALES,"TALADRO, AGUJAS DE TEJER CROCHET, MADERAS, SERRUCHOS"
19683,TALLER MECANICO,AYUDANTE DE MECANICO,"ACERCAR HERRAMIENTAS, CAMBIAR PIEZAS MECANICAS","LLAVES, PINZAS, LLAVE CRUZ, TALADRO, SOPLETE"
19692,PANADERIA Y FABRICA DE PASTAS,ELABORACION DE PREPIZZAS,ELABORACION DE PREPIZZAS,"AMASADORA, PIZZERAS, UTENSILIOS VARIOS"
19693,PANADERIA Y FABRICA DE PASTAS,AYUDANTE DE PANADERIA,"AYUDAR A PREPARAR LA MASA, EMPAQUETAR","BALANZA, AMASADORA, BOLSAS"
19697,9801,EMPLEADA DOMESTICA,"LIMPIEZA, LAVADO, PLANCHADO","ESCOBA, ESCURRIDOR, CEPILLO, BALDE, LAVARROPA, PLANCHA"
19703,9801,EMPLEADA DOMESTICA,"LIMPIEZA, COCINAR","ESCOBA, ESCURRIDOR, CEPILLO, BALDE, LAVARROPA, PLANCHA"
19732,TRABAJA EN EL FERROCARRIL DE RAWSON,OPERARIO EN VIAS Y OBRAS,CONTROL DE LOS PASOS A NIVEL,CONOS Y LUCES
19744,EMPLEADO RURAL,PEON RURAL,"SIEMBRA, COSECHA, ALIMENTA ANIMALES","TRACTOR, PALA, ARADO"
19751,CONEXIONES DE GAS,GASISTA,"REALIZA CONEXIONES DE GAS, PLANOS E INSTALACION","TALADRO, AMOLADORA, LLAVES"
19753,TRABAJA EN UN ESTUDIO CONTABLE,OFICINISTA,ATENCION AL PUBLICO Y TAREAS ADMINISTRATIVAS,COMPUTADORA
19763,TRABAJABA EN TAMBOS,EMPLEADA RURAL,"ORDEÑABA VACAS, JUNTABA MAIZ","TACHOS, AZADA"
19768,PSICOPEDAGOGA EN ESCUELA DEL PUEBLO,PSICOPEDAGOGA,"ATENCION INDIVIDUAL Y ACOMPAÑAMIENTO EN EL AULA, SERVICIOS DE ATENCION EN LAS ESCUELAS DE LA PROVINCIA, DIAGNOSTICOS Y TRABAJO CON LOS PAPAS","MATERIAL DIDACTICO, LIBROS, MATERIAL ESCOLAR Y COMPUTADORA"
19769,INGENIERO AGRONOMO,GERENTE EN PLANTA,"GESTIONAR RECURSOS HUMANOS, MATERIALES","LAPICERA, COMPUTADORA, SISTEMAS DE GESTION, DE CALIDAD"
19773,DOCENTE DE NIVEL INICIAL,DOCENTE,ENSEÑANZA DE NIVEL INICIAL,"HERRAMIENTAS DIDACTICAS, VOZ"
19777,FABRICA GUANTES,OPERARIA,COSTURA,MAQUINA DE COSER
19783,TEJEDORA,TEJEDORA,TEJER AL CROCHET,"AGUJAS, LANAS"
19788,DOCENTE DE INGLES,DOCENTE,DICTADO DE CLASES DE INGLES,"FIBRON, CUADERNO, LAPICERA"
19797,EMPLEADO DE COMERCIO,EMPLEADO DE COMERCIO,ATENCION AL PUBLICO,"CALCULADORA, COMPUTADORA"
